station_indice;station;C_1;C_2;C_3;C_4;C_5;Arrondissement;indice_lig;res_com;Latitude;Longitude
103;GAMBETTA;3;3bis;;;;20.0;3;M3;48.8649166851;2.39898444025
141;LES HALLES;4;;;;;1.0;4;M4;48.8623162787;2.34567382822
153;MAIRIE DE CLICHY;13;;;;;;13;M13;48.9033300946;2.30592414987
75;CRETEIL UNIVERSITE;8;;;;;;8;M8;48.7899783103;2.45045317792
79;DAUMESNIL;6;8;;;;12.0;8;M8;48.8394454284;2.39618288645
100;GABRIEL PERI;13;;;;;;13;M13;48.9163823099;2.2946851117
202;PLACE DES FETES;7bis;11;;;;19.0;11;M11;48.8768063892;2.39305609332
239;QUATRE SEPTEMBRE;3;;;;;2.0;3;M3;48.8695852435;2.33621884752
282;SULLY MORLAND;7;;;;;4.0;7;M7;48.8512376804;2.361985141
162;MALAKOFF RUE ETIENNE DOLET;13;;;;;;13;M13;48.8153075312;2.29707779833
193;PERE LACHAISE;2;3;;;;20.0;2;M2;48.8626540191;2.38760728815
84;ECOLE MILITAIRE;8;;;;;7.0;8;M8;48.8546821569;2.3060974037
112;GUY MOQUET;13;;;;;17.0;13;M13;48.8928288534;2.3274284585
247;RICHARD LENOIR;5;;;;;11.0;5;M5;48.8598736244;2.37191398009
136;LE PELETIER;7;;;;;9.0;7;M7;48.8748743434;2.34019988439
241;RANELAGH;9;;;;;16.0;9;M9;48.8554850504;2.27010913894
222;PORTE DE LA CHAPELLE;12;;;;;18.0;12;M12;48.8972452881;2.35950786882
40;CAMBRONNE;6;;;;;15.0;6;M6;48.8475070811;2.30296829919
68;CORVISART;6;;;;;13.0;6;M6;48.8297905137;2.35041487201
59;CHEVALERET;6;;;;;13.0;6;M6;48.8349477223;2.36812632906
4;ANATOLE FRANCE;3;;;;;;3;M3;48.892082786;2.28500950275
233;PORTE MAILLOT;1;;;;;16.0;1;M1;48.8775512518;2.28316224223
80;DENFERT ROCHEREAU;4;6;;;;14.0;4;M4;48.8334508582;2.33174013099
220;PORTE DE CLICHY;13;;;;;17.0;13;M13;48.8942522622;2.31377215877
275;SENTIER;3;;;;;3.0;3;M3;48.867309475;2.34751621328
274;SEGUR;10;;;;;15.0;10;M10;48.8470661332;2.30740224062
166;MARCEL SEMBAT;9;;;;;;9;M9;48.8337088491;2.24384059238
235;PYRAMIDES;7;14;;;;1.0;14;M14;48.8659067396;2.33418954197
228;PORTE DE VANVES;13;;;;;14.0;13;M13;48.8277955435;2.30553466965
177;MONTPARNASSE BIENVENUE;4;6;12;13;;14.0;12;M12;48.8437354893;2.32435304116
186;OPERA;3;7;8;;;9.0;7;M7;48.8704867033;2.33240740643
165;MARCADET POISSONNIERS;4;12;;;;18.0;4;M4;48.8914168342;2.34973840702
174;MIROMESNIL;9;13;;;;8.0;9;M9;48.8737095277;2.31460632162
44;CENSIER DAUBENTON;7;;;;;6.0;7;M7;48.8404866526;2.35173948717
169;MENILMONTANT;2;;;;;11.0;2;M2;48.8668000351;2.38338325046
3;ALMA MARCEAU;9;;;;;8.0;9;M9;48.864766845;2.3009910035
36;BROCHANT;13;;;;;17.0;13;M13;48.8905871866;2.32017475579
301;WAGRAM;3;;;;;17.0;3;M3;48.8838092012;2.30467444053
73;POINTE DU LAC;8;;;;;;8;M8;48.7687151253;2.46456499321
130;LA MOTTE PICQUET GRENELLE;6;8;10;;;15.0;10;M10;48.8493505536;2.29830140173
270;SAINT PHILIPPE DU ROULE;9;;;;;8.0;9;M9;48.8724223837;2.31003834462
255;SAINT AMBROISE;9;;;;;11.0;9;M9;48.8610192599;2.37473343128
199;PIGALLE;2;12;;;;18.0;12;M12;48.8825193856;2.33708168251
189;PARMENTIER;3;;;;;11.0;3;M3;48.8652537861;2.37458197
50;CHARONNE;9;;;;;12.0;9;M9;48.8545804991;2.38556348082
161;MALAKOFF PLATEAU DE VANVES;13;;;;;;13;M13;48.8225837068;2.29846419197
97;FORT D'AUBERVILLIERS;7;;;;;;7;M7;48.9149497564;2.40440908743
242;RASPAIL;4;6;;;;14.0;4;M4;48.8389642807;2.33075419209
94;FALGUIERE;12;;;;;15.0;12;M12;48.8444701413;2.31785278304
91;EUROPE;3;;;;;8.0;3;M3;48.8787703685;2.32226521312
207;PONT DE NEUILLY;1;;;;;;1;M1;48.8847082013;2.26051507789
280;STALINGRAD;2;5;7;;;19.0;5;M5;48.8844208864;2.36589381994
150;MADELEINE;8;12;14;;;8.0;12;M12;48.8700997328;2.32516410954
23;BIR HAKEIM;6;;;;;15.0;6;M6;48.8539426071;2.28933453277
83;DUROC;10;13;;;;7.0;13;M13;48.8470525545;2.31642435206
237;QUAI DE LA GARE;6;;;;;13.0;6;M6;48.8370451192;2.37282572183
70;COURCELLES;2;;;;;17.0;2;M2;48.8792141342;2.30352872537
6;ARGENTINE;1;;;;;17.0;1;M1;48.8755940499;2.28932258961
138;LES AGNETTES;13;;;;;;13;M13;48.9231037797;2.28627957753
87;EGLISE D'AUTEUIL;10;;;;;16.0;10;M10;48.8471500557;2.26913587273
95;FELIX FAURE;8;;;;;15.0;8;M8;48.8427467798;2.29191241332
