res_com;Station;Station suivante;Destination_1;Destination_2;;longitude station;latitude station;longitude station suivante;latitude station suivante
M1;LA DEFENSE;ESPLANADE DE LA DEFENSE;CHATEAU DE VINCENNES;;CHATEAU DE VINCENNES;2.2370180564;48.8921870764;2.24793243532;48.8886312178
M1;ESPLANADE DE LA DEFENSE;LA DEFENSE;LA DEFENSE;LA DEFENSE;;2.24793243532;48.8886312178;2.2370180564;48.8921870764
M1;ESPLANADE DE LA DEFENSE;PONT DE NEUILLY;CHATEAU DE VINCENNES;;CHATEAU DE VINCENNES;2.24793243532;48.8886312178;2.26051507789;48.8847082013
M1;PONT DE NEUILLY;ESPLANADE DE LA DEFENSE;LA DEFENSE;LA DEFENSE;;2.26051507789;48.8847082013;2.24793243532;48.8886312178
M1;PONT DE NEUILLY;LES SABLONS;CHATEAU DE VINCENNES;;CHATEAU DE VINCENNES;2.26051507789;48.8847082013;2.27168672105;48.8811915206
M1;LES SABLONS;PONT DE NEUILLY;LA DEFENSE;LA DEFENSE;;2.27168672105;48.8811915206;2.26051507789;48.8847082013
M1;LES SABLONS;PORTE MAILLOT;CHATEAU DE VINCENNES;;CHATEAU DE VINCENNES;2.27168672105;48.8811915206;2.28316224223;48.8775512518
M1;PORTE MAILLOT;LES SABLONS;LA DEFENSE;LA DEFENSE;;2.28316224223;48.8775512518;2.27168672105;48.8811915206
M1;PORTE MAILLOT;ARGENTINE;CHATEAU DE VINCENNES;;CHATEAU DE VINCENNES;2.28316224223;48.8775512518;2.28932258961;48.8755940499
M1;ARGENTINE;PORTE MAILLOT;LA DEFENSE;LA DEFENSE;;2.28932258961;48.8755940499;2.28316224223;48.8775512518
M1;ARGENTINE;CHARLES DE GAULLE ETOILE;CHATEAU DE VINCENNES;;CHATEAU DE VINCENNES;2.28932258961;48.8755940499;2.29590490608;48.8751498197
M1;CHARLES DE GAULLE ETOILE;ARGENTINE;LA DEFENSE;LA DEFENSE;;2.29590490608;48.8751498197;2.28932258961;48.8755940499
M1;CHARLES DE GAULLE ETOILE;GEORGE V;CHATEAU DE VINCENNES;;CHATEAU DE VINCENNES;2.29590490608;48.8751498197;2.30056045125;48.8720238095
M1;GEORGE V;CHARLES DE GAULLE ETOILE;LA DEFENSE;LA DEFENSE;;2.30056045125;48.8720238095;2.29590490608;48.8751498197
M1;GEORGE V;FRANKLIN ROOSEVELT;CHATEAU DE VINCENNES;;CHATEAU DE VINCENNES;2.30056045125;48.8720238095;2.30747079345;48.8698082202
M1;FRANKLIN ROOSEVELT;GEORGE V;LA DEFENSE;LA DEFENSE;;2.30747079345;48.8698082202;2.30056045125;48.8720238095
M1;FRANKLIN ROOSEVELT;CHAMPS ELYSEES CLEMENCEAU;CHATEAU DE VINCENNES;;CHATEAU DE VINCENNES;2.30747079345;48.8698082202;2.31354554995;48.8679053449
M1;CHAMPS ELYSEES CLEMENCEAU;FRANKLIN ROOSEVELT;LA DEFENSE;LA DEFENSE;;2.31354554995;48.8679053449;2.30747079345;48.8698082202
M1;CHAMPS ELYSEES CLEMENCEAU;CONCORDE;CHATEAU DE VINCENNES;;CHATEAU DE VINCENNES;2.31354554995;48.8679053449;2.32294341224;48.8662858046
M1;CONCORDE;CHAMPS ELYSEES CLEMENCEAU;LA DEFENSE;LA DEFENSE;;2.32294341224;48.8662858046;2.31354554995;48.8679053449
M1;CONCORDE;TUILERIES;CHATEAU DE VINCENNES;;CHATEAU DE VINCENNES;2.32294341224;48.8662858046;2.33012987711;48.8643437787
M1;TUILERIES;CONCORDE;LA DEFENSE;LA DEFENSE;;2.33012987711;48.8643437787;2.32294341224;48.8662858046
M1;TUILERIES;PALAIS ROYAL MUSEE DU LOUVRE;CHATEAU DE VINCENNES;;CHATEAU DE VINCENNES;2.33012987711;48.8643437787;2.33649646231;48.8623480308
M1;PALAIS ROYAL MUSEE DU LOUVRE;TUILERIES;LA DEFENSE;LA DEFENSE;;2.33649646231;48.8623480308;2.33012987711;48.8643437787
M1;PALAIS ROYAL MUSEE DU LOUVRE;LOUVRE RIVOLI;CHATEAU DE VINCENNES;;CHATEAU DE VINCENNES;2.33649646231;48.8623480308;2.34110859163;48.8608062913
M1;LOUVRE RIVOLI;PALAIS ROYAL MUSEE DU LOUVRE;LA DEFENSE;LA DEFENSE;;2.34110859163;48.8608062913;2.33649646231;48.8623480308
M1;LOUVRE RIVOLI;CHATELET;CHATEAU DE VINCENNES;;CHATEAU DE VINCENNES;2.34110859163;48.8608062913;2.34771187993;48.8570599663
M1;CHATELET;LOUVRE RIVOLI;LA DEFENSE;LA DEFENSE;;2.34771187993;48.8570599663;2.34110859163;48.8608062913
M1;CHATELET;HOTEL DE VILLE;CHATEAU DE VINCENNES;;CHATEAU DE VINCENNES;2.34771187993;48.8570599663;2.35157756299;48.8574779825
M1;HOTEL DE VILLE;CHATELET;LA DEFENSE;LA DEFENSE;;2.35157756299;48.8574779825;2.34771187993;48.8570599663
M1;HOTEL DE VILLE;ST PAUL;CHATEAU DE VINCENNES;;CHATEAU DE VINCENNES;2.35157756299;48.8574779825;2.36095648866;48.8552362528
M1;ST PAUL;HOTEL DE VILLE;LA DEFENSE;LA DEFENSE;;2.36095648866;48.8552362528;2.35157756299;48.8574779825
M1;ST PAUL;BASTILLE;CHATEAU DE VINCENNES;;CHATEAU DE VINCENNES;2.36095648866;48.8552362528;2.36932058493;48.8524794228
M1;BASTILLE;ST PAUL;LA DEFENSE;LA DEFENSE;;2.36932058493;48.8524794228;2.36095648866;48.8552362528
M1;BASTILLE;GARE DE LYON;CHATEAU DE VINCENNES;;CHATEAU DE VINCENNES;2.36932058493;48.8524794228;2.37301421994;48.843985582
M1;GARE DE LYON;BASTILLE;LA DEFENSE;LA DEFENSE;;2.37301421994;48.843985582;2.36932058493;48.8524794228
M1;GARE DE LYON;REUILLY DIDEROT;CHATEAU DE VINCENNES;;CHATEAU DE VINCENNES;2.37301421994;48.843985582;2.38634170635;48.8473037861
M1;REUILLY DIDEROT;GARE DE LYON;LA DEFENSE;LA DEFENSE;;2.38634170635;48.8473037861;2.37301421994;48.843985582
M1;REUILLY DIDEROT;NATION;CHATEAU DE VINCENNES;;CHATEAU DE VINCENNES;2.38634170635;48.8473037861;2.39546199483;48.8473748787
M1;NATION;REUILLY DIDEROT;LA DEFENSE;LA DEFENSE;;2.39546199483;48.8473748787;2.38634170635;48.8473037861
M1;NATION;PORTE DE VINCENNES;CHATEAU DE VINCENNES;;CHATEAU DE VINCENNES;2.39546199483;48.8473748787;2.41014036797;48.8471584794
M1;PORTE DE VINCENNES;NATION;LA DEFENSE;LA DEFENSE;;2.41014036797;48.8471584794;2.39546199483;48.8473748787
